pk,title,genre,release_date,poster_path,overview
259,롱 플레이스,"액션,범죄",20230427,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230420_247%2F1681978469442Co6h9_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,마약 조직의 내분으로 일어난 끔찍한 살인 사건. 우연히 그 현장을 목격한 전직 경찰 서장 '프랭크'는 조직 두목이자 살인 사건의 주범인 '버질'을 제압해 경찰에 넘기는 데 성공한다. 곧 복수심에 불타는 조직원들은 그를 뒤쫓으며 목숨을 위협하기 시작하는데... 하지만 상대를 잘못 골랐다! 건드리지 말았어야 할 그의 반격이 시작된다!
260,2퍼센트,드라마,20230427,https://media.istockphoto.com/id/499642119/ko/%EB%B2%A1%ED%84%B0/%EC%82%AC%EC%9A%A9-%EA%B0%80%EB%8A%A5%ED%95%9C-%EC%82%AC%EC%A7%84-%EC%97%86%EC%9D%8C-%EB%98%90%EB%8A%94-%EB%AF%B8%EC%8B%B1-%EC%9D%B4%EB%AF%B8%EC%A7%80.webp?s=612x612&w=is&k=20&c=7c0_XObaB51UOyiKd0n0Vh7DYElthNtjazmmQyHvVhA=,준비 예정
261,플레이 데드,공포(호러),,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20160523_299%2F1463970265334NgUDv_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,열여섯 살 톰은 무기를 손수 개발하는 에반의 실험 대상이지만 ‘스퍼드건 실험’을 당한 뒤에는 그의 집 앞을 지나가는 것 자체를 피하게 된다. 그러나 에반은 이제 막 재미있어지기 시작한 실험을 그만두고 싶지 않다. [제18회 서울국제청소년영화제]
262,탐정 말로,"범죄,액션,스릴러",,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220915_291%2F1663230284379lwQQh_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"화려함 뒤의 추악함을 밝혀라! 탐정 필립 말로의 강렬한 추리가 시작된다! 다부진 체격, 깔끔한 정장 그리고 그윽한 담배 연기. 할리우드의 탐정 ‘말로’(리암 니슨)는 사라진 애인을 찾아 달라는 매력적인 여인 '캐빈디시'(다이앤 크루거)의 의뢰를 받아 조사에 나서고, 거대한 조직에 얽힌 충격적인 비밀을 마주하게 되는데… 역사상 가장 매력적인 하드보일드 탐정이 온다!"
263,야쿠자들: 폭력의 도시,"범죄,액션",,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230420_107%2F1681953081097GIIia_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"폭력이 지배하는 도시! 그 속에서 벌어지는 지독한 전쟁! 거리를 주름 잡던 거대 야쿠자의 두목이 누군가에게 살해당한 후 도시는 폭력으로 물들게 된다. 이후 한국 출신의 적대 세력 야쿠자 ‘김승기’가 범인으로 지목되지만, 행방을 알 수 없다. 이에 검사장 ‘히라야마 켄지’는 형무소에 갇혀 있던 폭력 형사 ‘토라타 마코토’에게 사건을 맡기고, ‘토라타 마코토’는 상상도 못한 자신만의 방법으로 ‘김승기’를 쫓는데…"
264,포트리스2 : 스나이퍼 아이,액션,,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230503_184%2F16831043869552BV4s_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"포트리스 기지에 공격이 가해진 후 자신의 숙적 발자리를 처리한 로버트는 발자리의 아내 샤샤를 구출해 포트리스로 데려온다. 한편 폴의 여자친구 케이트의 어머니와 여동생도 포트리스를 방문하고, 어느 때보다 평화로운 시간을 보낸다. 그러던 어느 날 정체를 알 수 없는 괴한들이 습격해오고, 로버트를 깜짝 놀라게 한 그들의 정체가 밝혀지는데..."
265,디데이 어쎄신,전쟁,,https://media.istockphoto.com/id/499642119/ko/%EB%B2%A1%ED%84%B0/%EC%82%AC%EC%9A%A9-%EA%B0%80%EB%8A%A5%ED%95%9C-%EC%82%AC%EC%A7%84-%EC%97%86%EC%9D%8C-%EB%98%90%EB%8A%94-%EB%AF%B8%EC%8B%B1-%EC%9D%B4%EB%AF%B8%EC%A7%80.webp?s=612x612&w=is&k=20&c=7c0_XObaB51UOyiKd0n0Vh7DYElthNtjazmmQyHvVhA=,준비 예정
266,디 데이,다큐멘터리,,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20130716_167%2F1373963474639L6esq_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,준비 예정
267,13 미닛츠,"액션,드라마",,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20170224_153%2F1487922164540bwlKo_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,준비 예정
268,포트리스: 더 벙커,액션,,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230502_79%2F16829953249543f6NL_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"암호화폐를 둘러싼 그들의 전쟁이 시작된다! 암호 화폐 거래소를 운영하는 폴은 사업이 어려워지며 큰 돈이 필요하게 되고, 사업자금을 끌어오기 위해 3년 전 자취를 감춘 전직 CIA 요원인 아버지 로버트를 수소문해 그가 머문다는 실버타운을 찾아간다. 그 뒤를 미행한 로버트의 숙적 발라지가 습격하며 총격전이 벌어지고, 부자는 습격을 피해 최첨단 비밀벙커로 피신하는데..."
